Location,Fuel_Type,Feb-26,Mar-26,Apr-26,May-26,Jun-26,Jul-26,Aug-26,Sep-26,Oct-26,Nov-26,Dec-26,Cal-27
Singapore,VLSFO,491,490,489,489,487,484,482,480,479,476,474,470
Singapore,MGO,654,649,642,639,637,637,637,637,637,637,637,637
Fujairah,VLSFO,479,478,477,476,475,473,471,469,467,465,463,460
Fujairah,MGO,640,638,636,633,632,631,630,629,628,626,624,620
Durban,VLSFO,436,437,437,436,434,432,430,427,423,421,419,414
Durban,MGO,511,510,509,510,507,505,502,501,499,496,493,484
Rotterdam,VLSFO,468,467,466,464,463,461,460,458,456,454,453,450
Rotterdam,MGO,615,613,610,608,606,604,603,601,600,598,597,595
Gibraltar,VLSFO,475,474,473,472,470,468,466,464,462,460,458,455
Gibraltar,MGO,625,623,621,619,617,615,614,612,610,608,606,604
Port Louis,VLSFO,455,454,454,453,451,449,448,446,444,442,440,438
Port Louis,MGO,585,583,581,580,579,578,577,576,575,574,573,570
Qingdao,VLSFO,648,643,639,636,633,630,628,626,624,622,620,616
Qingdao,MGO,838,833,828,825,823,822,821,820,818,817,816,815
Shanghai,VLSFO,650,645,638,636,633,632,630,634,633,631,630,627
Shanghai,MGO,841,836,829,826,824,823,822,822,820,818,816,818
Richards Bay,VLSFO,442,441,441,440,438,436,434,432,430,428,426,423
Richards Bay,MGO,520,519,518,516,514,512,510,508,506,504,502,500
