,Dampier_Australia,Ponta da Madeira_Brazil,Saldanha Bay_South Africa,Taboneo_Indonesia,Vancouver_Canada,Kamsar_Guinea,Port Hedland_Australia,Tubarao_Brazil,Qingdao_China,Caofeidian_China,Tianjin_China,Vizag_India,Fangcheng_China,Mangalore_India,Gwangyang_South Korea,Teluk Rubiah_Malaysia,Paradip_India,Map Ta Phut_Thailand,Rotterdam_Netherlands,Xiamen_China,Kandla_India,Port Talbot_Wales,Mundra_India,Jubail_Saudi Arabia,Itaguaí_Brazil,Jingtang_China,Lianyungang_China,Krishnapatnam_India
Dampier_Australia,0.0,12623.15,7213.63,1670.48,10510.98,11175.72,154.56,11199.88,3331.2,3725.37,3617.6,4243.92,2681.08,4463.09,4753.32,2473.52,4235.0,3081.34,10082.53,2820.14,5291.03,10494.78,5310.2,6767.98,11132.8,3708.54,3348.48,4211.61
Ponta da Madeira_Brazil,12623.15,0.0,5500.32,13535.63,7124.53,2652.04,12743.47,1526.57,10768.94,11049.5,11886.0,10614.97,10990.82,9990.66,12335.95,12173.75,10839.16,12124.91,4080.78,12789.78,9532.44,3731.59,9496.22,7950.04,1882.56,11483.16,11028.6,10408.64
Saldanha Bay_South Africa,7213.63,5500.32,0.0,8174.86,12354.61,4537.52,7356.16,4444.79,8085.54,8469.69,8350.68,6750.55,6681.36,5973.72,10334.99,7241.55,7100.58,7674.2,6324.2,9340.12,4622.05,5582.2,6264.92,5002.9,4600.37,8123.94,7865.55,5126.31
Taboneo_Indonesia,1670.48,13535.63,8174.86,0.0,9205.3,11079.73,1644.23,12559.18,3109.59,3081.52,3346.33,2372.52,1830.51,3708.04,3114.12,1448.98,2424.45,1369.64,9119.0,1975.74,3670.92,9185.53,3596.52,5920.49,12599.51,3365.32,2993.94,2411.88
Vancouver_Canada,10510.98,7124.53,12354.61,9205.3,0.0,7832.35,10384.52,8471.67,5280.08,5355.0,5030.25,8810.76,6011.32,9733.19,4560.94,9625.02,9045.75,8979.21,8711.22,5263.68,9772.29,5606.8,10028.64,8692.22,8455.58,5337.66,5063.85,8260.25
Kamsar_Guinea,11175.72,2652.04,4537.52,11079.73,7832.35,0.0,11329.31,3314.3,11614.72,11120.08,11854.27,8455.2,10129.0,7385.41,10303.94,9632.65,8187.4,9484.41,3718.64,10304.48,6880.84,3533.18,6844.87,5299.3,3667.27,12019.35,9885.23,7786.53
Port Hedland_Australia,154.56,12743.47,7356.16,1644.23,10384.52,11329.31,0.0,11300.54,3492.58,3788.51,3985.8,4327.04,2842.74,4570.22,3633.0,2538.05,2980.8,3124.28,10158.86,2806.75,5385.93,10570.05,5406.14,6877.94,11221.22,3584.64,3545.52,2916.5
Tubarao_Brazil,11199.88,1526.57,4444.79,12559.18,8471.67,3314.3,11300.54,0.0,10480.4,11214.72,12890.75,10654.01,10191.84,9895.96,13609.77,11654.83,10965.74,11961.13,5161.33,10765.65,9745.46,4836.84,9704.32,8049.72,358.36,11650.33,10718.5,7761.6
Qingdao_China,3331.2,10768.94,8085.54,3109.59,5280.08,11614.72,3492.58,10480.4,0.0,278.65,304.26,3156.62,1501.69,3940.36,508.54,2692.8,2806.81,2447.06,6381.96,986.13,3784.14,6696.68,3825.69,5014.2,11370.96,289.2,130.17,3532.96
Caofeidian_China,3725.37,11049.5,8469.69,3081.52,5355.0,11120.08,3788.51,11214.72,278.65,0.0,49.44,3131.34,1635.32,3904.26,707.72,3106.48,2781.98,2563.49,6106.14,1220.12,5591.36,6419.04,3718.17,4839.34,11328.57,18.92,363.4,3512.96
Tianjin_China,3617.6,11886.0,8350.68,3346.33,5030.25,11854.27,3985.8,12890.75,304.26,49.44,0.0,4129.65,1611.01,3858.15,752.03,2969.17,4542.3,2534.88,11133.0,1219.14,3627.91,6392.99,3668.99,4790.83,11373.12,82.82,374.38,3468.08
Vizag_India,4243.92,10614.97,6750.55,2372.52,8810.76,8455.2,4327.04,10654.01,3156.62,3131.34,4129.65,0.0,2014.3,789.08,3611.62,1827.88,248.46,1513.98,5840.39,2784.31,1118.35,6253.19,1148.95,2893.44,10956.11,3146.8,4064.24,383.83
Fangcheng_China,2681.08,10990.82,6681.36,1830.51,6011.32,10129.0,2842.74,10191.84,1501.69,1635.32,1611.01,2014.3,0.0,2780.8,1809.86,1722.0,1704.09,948.11,6845.91,789.98,2960.94,7225.35,4160.19,5177.52,10310.16,1654.25,1372.53,2337.75
Mangalore_India,4463.09,9990.66,5973.72,3708.04,9733.19,7385.41,4570.22,9895.96,3940.36,3904.26,3858.15,789.08,2780.8,0.0,4399.69,2261.56,1135.91,2155.35,6434.01,3560.49,927.22,6125.81,929.52,2309.23,10188.0,3919.16,3841.49,444.77
Gwangyang_South Korea,4753.32,12335.95,10334.99,3114.12,4560.94,10303.94,3633.0,13609.77,508.54,707.72,752.03,3611.62,1809.86,4399.69,0.0,3333.09,3263.79,2750.35,6736.22,1119.15,4283.55,7028.8,5278.26,5521.52,13947.02,706.79,458.81,3981.56
Teluk Rubiah_Malaysia,2473.52,12173.75,7241.55,1448.98,9625.02,9632.65,2538.05,11654.83,2692.8,3106.48,2969.17,1827.88,1722.0,2261.56,3333.09,0.0,1769.87,714.78,7623.66,2218.09,2933.8,8033.8,2960.51,4509.85,11840.55,3118.96,2957.46,1897.37
Paradip_India,4235.0,10839.16,7100.58,2424.45,9045.75,8187.4,2980.8,10965.74,2806.81,2781.98,4542.3,248.46,1704.09,1135.91,3263.79,1769.87,0.0,1329.57,5854.16,2460.05,2332.74,6264.74,1343.32,2896.44,8399.58,4434.56,4003.0,544.68
Map Ta Phut_Thailand,3081.34,12124.91,7674.2,1369.64,8979.21,9484.41,3124.28,11961.13,2447.06,2563.49,2534.88,1513.98,948.11,2155.35,2750.35,714.78,1329.57,0.0,7087.84,1673.53,2617.88,7491.29,2651.57,4216.46,12207.2,2582.34,2318.6,1724.27
Rotterdam_Netherlands,10082.53,4080.78,6324.2,9119.0,8711.22,3718.64,10158.86,5161.33,6381.96,6106.14,11133.0,5840.39,6845.91,6434.01,6736.22,7623.66,5854.16,7087.84,0.0,7088.02,6143.98,535.8,4815.01,3534.82,5383.3,6098.45,6433.19,5902.08
Xiamen_China,2820.14,12789.78,9340.12,1975.74,5263.68,10304.48,2806.75,10765.65,986.13,1220.12,1219.14,2784.31,789.98,3560.49,1119.15,2218.09,2460.05,1673.53,7088.02,0.0,3665.53,7437.12,3706.63,5117.84,10369.0,1236.78,866.7,3119.58
Kandla_India,5291.03,9532.44,4622.05,3670.92,9772.29,6880.84,5385.93,9745.46,3784.14,5591.36,3627.91,1118.35,2960.94,927.22,4283.55,2933.8,2332.74,2617.88,6143.98,3665.53,0.0,5240.69,41.79,1599.42,10075.42,3688.43,3711.16,1079.62
Port Talbot_Wales,10494.78,3731.59,5582.2,9185.53,5606.8,3533.18,10570.05,4836.84,6696.68,6419.04,6392.99,6253.19,7225.35,6125.81,7028.8,8033.8,6264.74,7491.29,535.8,7437.12,5240.69,0.0,5226.51,3926.56,5010.39,6410.36,6754.52,6314.58
Mundra_India,5310.2,9496.22,6264.92,3596.52,10028.64,6844.87,5406.14,9704.32,3825.69,3718.17,3668.99,1148.95,4160.19,929.52,5278.26,2960.51,1343.32,2651.57,4815.01,3706.63,41.79,5226.51,0.0,1567.06,10034.07,3729.48,3752.83,1098.68
Jubail_Saudi Arabia,6767.98,7950.04,5002.9,5920.49,8692.22,5299.3,6877.94,8049.72,5014.2,4839.34,4790.83,2893.44,5177.52,2309.23,5521.52,4509.85,2896.44,4216.46,3534.82,5117.84,1599.42,3926.56,1567.06,0.0,8668.56,4845.73,4972.22,2616.21
Itaguaí_Brazil,11132.8,1882.56,4600.37,12599.51,8455.58,3667.27,11221.22,358.36,11370.96,11328.57,11373.12,10956.11,10310.16,10188.0,13947.02,11840.55,8399.58,12207.2,5383.3,10369.0,10075.42,5010.39,10034.07,8668.56,0.0,11083.22,11723.25,8282.0
Jingtang_China,3708.54,11483.16,8123.94,3365.32,5337.66,12019.35,3584.64,11650.33,289.2,18.92,82.82,3146.8,1654.25,3919.16,706.79,3118.96,4434.56,2582.34,6098.45,1236.78,3688.43,6410.36,3729.48,4845.73,11083.22,0.0,378.12,3528.56
Lianyungang_China,3348.48,11028.6,7865.55,2993.94,5063.85,9885.23,3545.52,10718.5,130.17,363.4,374.38,4064.24,1372.53,3841.49,458.81,2957.46,4003.0,2318.6,6433.19,866.7,3711.16,6754.52,3752.83,4972.22,11723.25,378.12,0.0,3429.82
Krishnapatnam_India,4211.61,10408.64,5126.31,2411.88,8260.25,7786.53,2916.5,7761.6,3532.96,3512.96,3468.08,383.83,2337.75,444.77,3981.56,1897.37,544.68,1724.27,5902.08,3119.58,1079.62,6314.58,1098.68,2616.21,8282.0,3528.56,3429.82,0.0
