Vessel,From_Port,To_Port,Distance_NM,Speed_kn,Sailing_Days
ANN BELL,Dampier_Australia,Ponta da Madeira_Brazil,12623.15,12.5,42.08
ANN BELL,Dampier_Australia,Saldanha Bay_South Africa,7213.63,12.5,24.05
ANN BELL,Dampier_Australia,Taboneo_Indonesia,1670.48,12.5,5.57
ANN BELL,Dampier_Australia,Vancouver_Canada,10510.98,12.5,35.04
ANN BELL,Dampier_Australia,Kamsar_Guinea,11175.72,12.5,37.25
ANN BELL,Dampier_Australia,Port Hedland_Australia,154.56,12.5,0.52
ANN BELL,Dampier_Australia,Tubarao_Brazil,11199.88,12.5,37.33
ANN BELL,Dampier_Australia,Qingdao_China,3331.2,12.5,11.1
ANN BELL,Dampier_Australia,Caofeidian_China,3725.37,12.5,12.42
ANN BELL,Dampier_Australia,Tianjin_China,3617.6,12.5,12.06
ANN BELL,Dampier_Australia,Vizag_India,4243.92,12.5,14.15
ANN BELL,Dampier_Australia,Fangcheng_China,2681.08,12.5,8.94
ANN BELL,Dampier_Australia,Mangalore_India,4463.09,12.5,14.88
ANN BELL,Dampier_Australia,Gwangyang_South Korea,4753.32,12.5,15.84
ANN BELL,Dampier_Australia,Teluk Rubiah_Malaysia,2473.52,12.5,8.25
ANN BELL,Dampier_Australia,Paradip_India,4235.0,12.5,14.12
ANN BELL,Dampier_Australia,Map Ta Phut_Thailand,3081.34,12.5,10.27
ANN BELL,Dampier_Australia,Rotterdam_Netherlands,10082.53,12.5,33.61
ANN BELL,Dampier_Australia,Xiamen_China,2820.14,12.5,9.4
ANN BELL,Dampier_Australia,Kandla_India,5291.03,12.5,17.64
ANN BELL,Dampier_Australia,Port Talbot_Wales,10494.78,12.5,34.98
ANN BELL,Dampier_Australia,Mundra_India,5310.2,12.5,17.7
ANN BELL,Dampier_Australia,Jubail_Saudi Arabia,6767.98,12.5,22.56
ANN BELL,Dampier_Australia,Itaguaí_Brazil,11132.8,12.5,37.11
ANN BELL,Dampier_Australia,Jingtang_China,3708.54,12.5,12.36
ANN BELL,Dampier_Australia,Lianyungang_China,3348.48,12.5,11.16
ANN BELL,Dampier_Australia,Krishnapatnam_India,4211.61,12.5,14.04
ANN BELL,Ponta da Madeira_Brazil,Saldanha Bay_South Africa,5500.32,12.5,18.33
ANN BELL,Ponta da Madeira_Brazil,Taboneo_Indonesia,13535.63,12.5,45.12
ANN BELL,Ponta da Madeira_Brazil,Vancouver_Canada,7124.53,12.5,23.75
ANN BELL,Ponta da Madeira_Brazil,Kamsar_Guinea,2652.04,12.5,8.84
ANN BELL,Ponta da Madeira_Brazil,Port Hedland_Australia,12743.47,12.5,42.48
ANN BELL,Ponta da Madeira_Brazil,Tubarao_Brazil,1526.57,12.5,5.09
ANN BELL,Ponta da Madeira_Brazil,Qingdao_China,10768.94,12.5,35.9
ANN BELL,Ponta da Madeira_Brazil,Caofeidian_China,11049.5,12.5,36.83
ANN BELL,Ponta da Madeira_Brazil,Tianjin_China,11886.0,12.5,39.62
ANN BELL,Ponta da Madeira_Brazil,Vizag_India,10614.97,12.5,35.38
ANN BELL,Ponta da Madeira_Brazil,Fangcheng_China,10990.82,12.5,36.64
ANN BELL,Ponta da Madeira_Brazil,Mangalore_India,9990.66,12.5,33.3
ANN BELL,Ponta da Madeira_Brazil,Gwangyang_South Korea,12335.95,12.5,41.12
ANN BELL,Ponta da Madeira_Brazil,Teluk Rubiah_Malaysia,12173.75,12.5,40.58
ANN BELL,Ponta da Madeira_Brazil,Paradip_India,10839.16,12.5,36.13
ANN BELL,Ponta da Madeira_Brazil,Map Ta Phut_Thailand,12124.91,12.5,40.42
ANN BELL,Ponta da Madeira_Brazil,Rotterdam_Netherlands,4080.78,12.5,13.6
ANN BELL,Ponta da Madeira_Brazil,Xiamen_China,12789.78,12.5,42.63
ANN BELL,Ponta da Madeira_Brazil,Kandla_India,9532.44,12.5,31.77
ANN BELL,Ponta da Madeira_Brazil,Port Talbot_Wales,3731.59,12.5,12.44
ANN BELL,Ponta da Madeira_Brazil,Mundra_India,9496.22,12.5,31.65
ANN BELL,Ponta da Madeira_Brazil,Jubail_Saudi Arabia,7950.04,12.5,26.5
ANN BELL,Ponta da Madeira_Brazil,Itaguaí_Brazil,1882.56,12.5,6.28
ANN BELL,Ponta da Madeira_Brazil,Jingtang_China,11483.16,12.5,38.28
ANN BELL,Ponta da Madeira_Brazil,Lianyungang_China,11028.6,12.5,36.76
ANN BELL,Ponta da Madeira_Brazil,Krishnapatnam_India,10408.64,12.5,34.7
ANN BELL,Saldanha Bay_South Africa,Taboneo_Indonesia,8174.86,12.5,27.25
ANN BELL,Saldanha Bay_South Africa,Vancouver_Canada,12354.61,12.5,41.18
ANN BELL,Saldanha Bay_South Africa,Kamsar_Guinea,4537.52,12.5,15.13
ANN BELL,Saldanha Bay_South Africa,Port Hedland_Australia,7356.16,12.5,24.52
ANN BELL,Saldanha Bay_South Africa,Tubarao_Brazil,4444.79,12.5,14.82
ANN BELL,Saldanha Bay_South Africa,Qingdao_China,8085.54,12.5,26.95
ANN BELL,Saldanha Bay_South Africa,Caofeidian_China,8469.69,12.5,28.23
ANN BELL,Saldanha Bay_South Africa,Tianjin_China,8350.68,12.5,27.84
ANN BELL,Saldanha Bay_South Africa,Vizag_India,6750.55,12.5,22.5
ANN BELL,Saldanha Bay_South Africa,Fangcheng_China,6681.36,12.5,22.27
ANN BELL,Saldanha Bay_South Africa,Mangalore_India,5973.72,12.5,19.91
ANN BELL,Saldanha Bay_South Africa,Gwangyang_South Korea,10334.99,12.5,34.45
ANN BELL,Saldanha Bay_South Africa,Teluk Rubiah_Malaysia,7241.55,12.5,24.14
ANN BELL,Saldanha Bay_South Africa,Paradip_India,7100.58,12.5,23.67
ANN BELL,Saldanha Bay_South Africa,Map Ta Phut_Thailand,7674.2,12.5,25.58
ANN BELL,Saldanha Bay_South Africa,Rotterdam_Netherlands,6324.2,12.5,21.08
ANN BELL,Saldanha Bay_South Africa,Xiamen_China,9340.12,12.5,31.13
ANN BELL,Saldanha Bay_South Africa,Kandla_India,4622.05,12.5,15.41
ANN BELL,Saldanha Bay_South Africa,Port Talbot_Wales,5582.2,12.5,18.61
ANN BELL,Saldanha Bay_South Africa,Mundra_India,6264.92,12.5,20.88
ANN BELL,Saldanha Bay_South Africa,Jubail_Saudi Arabia,5002.9,12.5,16.68
ANN BELL,Saldanha Bay_South Africa,Itaguaí_Brazil,4600.37,12.5,15.33
ANN BELL,Saldanha Bay_South Africa,Jingtang_China,8123.94,12.5,27.08
ANN BELL,Saldanha Bay_South Africa,Lianyungang_China,7865.55,12.5,26.22
ANN BELL,Saldanha Bay_South Africa,Krishnapatnam_India,5126.31,12.5,17.09
ANN BELL,Taboneo_Indonesia,Vancouver_Canada,9205.3,12.5,30.68
ANN BELL,Taboneo_Indonesia,Kamsar_Guinea,11079.73,12.5,36.93
ANN BELL,Taboneo_Indonesia,Port Hedland_Australia,1644.23,12.5,5.48
ANN BELL,Taboneo_Indonesia,Tubarao_Brazil,12559.18,12.5,41.86
ANN BELL,Taboneo_Indonesia,Qingdao_China,3109.59,12.5,10.37
ANN BELL,Taboneo_Indonesia,Caofeidian_China,3081.52,12.5,10.27
ANN BELL,Taboneo_Indonesia,Tianjin_China,3346.33,12.5,11.15
ANN BELL,Taboneo_Indonesia,Vizag_India,2372.52,12.5,7.91
ANN BELL,Taboneo_Indonesia,Fangcheng_China,1830.51,12.5,6.1
ANN BELL,Taboneo_Indonesia,Mangalore_India,3708.04,12.5,12.36
ANN BELL,Taboneo_Indonesia,Gwangyang_South Korea,3114.12,12.5,10.38
ANN BELL,Taboneo_Indonesia,Teluk Rubiah_Malaysia,1448.98,12.5,4.83
ANN BELL,Taboneo_Indonesia,Paradip_India,2424.45,12.5,8.08
ANN BELL,Taboneo_Indonesia,Map Ta Phut_Thailand,1369.64,12.5,4.57
ANN BELL,Taboneo_Indonesia,Rotterdam_Netherlands,9119.0,12.5,30.4
ANN BELL,Taboneo_Indonesia,Xiamen_China,1975.74,12.5,6.59
ANN BELL,Taboneo_Indonesia,Kandla_India,3670.92,12.5,12.24
ANN BELL,Taboneo_Indonesia,Port Talbot_Wales,9185.53,12.5,30.62
ANN BELL,Taboneo_Indonesia,Mundra_India,3596.52,12.5,11.99
ANN BELL,Taboneo_Indonesia,Jubail_Saudi Arabia,5920.49,12.5,19.73
ANN BELL,Taboneo_Indonesia,Itaguaí_Brazil,12599.51,12.5,42.0
ANN BELL,Taboneo_Indonesia,Jingtang_China,3365.32,12.5,11.22
ANN BELL,Taboneo_Indonesia,Lianyungang_China,2993.94,12.5,9.98
ANN BELL,Taboneo_Indonesia,Krishnapatnam_India,2411.88,12.5,8.04
ANN BELL,Vancouver_Canada,Kamsar_Guinea,7832.35,12.5,26.11
ANN BELL,Vancouver_Canada,Port Hedland_Australia,10384.52,12.5,34.62
ANN BELL,Vancouver_Canada,Tubarao_Brazil,8471.67,12.5,28.24
ANN BELL,Vancouver_Canada,Qingdao_China,5280.08,12.5,17.6
ANN BELL,Vancouver_Canada,Caofeidian_China,5355.0,12.5,17.85
ANN BELL,Vancouver_Canada,Tianjin_China,5030.25,12.5,16.77
ANN BELL,Vancouver_Canada,Vizag_India,8810.76,12.5,29.37
ANN BELL,Vancouver_Canada,Fangcheng_China,6011.32,12.5,20.04
ANN BELL,Vancouver_Canada,Mangalore_India,9733.19,12.5,32.44
ANN BELL,Vancouver_Canada,Gwangyang_South Korea,4560.94,12.5,15.2
ANN BELL,Vancouver_Canada,Teluk Rubiah_Malaysia,9625.02,12.5,32.08
ANN BELL,Vancouver_Canada,Paradip_India,9045.75,12.5,30.15
ANN BELL,Vancouver_Canada,Map Ta Phut_Thailand,8979.21,12.5,29.93
ANN BELL,Vancouver_Canada,Rotterdam_Netherlands,8711.22,12.5,29.04
ANN BELL,Vancouver_Canada,Xiamen_China,5263.68,12.5,17.55
ANN BELL,Vancouver_Canada,Kandla_India,9772.29,12.5,32.57
