Vessel,From_Port,To_Port,Distance_NM,Speed_kn,Sailing_Days
ANN BELL,Dampier_Australia,Ponta da Madeira_Brazil,12623.15,14.5,36.27
ANN BELL,Dampier_Australia,Saldanha Bay_South Africa,7213.63,14.5,20.73
ANN BELL,Dampier_Australia,Taboneo_Indonesia,1670.48,14.5,4.8
ANN BELL,Dampier_Australia,Vancouver_Canada,10510.98,14.5,30.2
ANN BELL,Dampier_Australia,Kamsar_Guinea,11175.72,14.5,32.11
ANN BELL,Dampier_Australia,Port Hedland_Australia,154.56,14.5,0.44
ANN BELL,Dampier_Australia,Tubarao_Brazil,11199.88,14.5,32.18
ANN BELL,Dampier_Australia,Qingdao_China,3331.2,14.5,9.57
ANN BELL,Dampier_Australia,Caofeidian_China,3725.37,14.5,10.71
ANN BELL,Dampier_Australia,Tianjin_China,3617.6,14.5,10.4
ANN BELL,Dampier_Australia,Vizag_India,4243.92,14.5,12.2
ANN BELL,Dampier_Australia,Fangcheng_China,2681.08,14.5,7.7
ANN BELL,Dampier_Australia,Mangalore_India,4463.09,14.5,12.82
ANN BELL,Dampier_Australia,Gwangyang_South Korea,4753.32,14.5,13.66
ANN BELL,Dampier_Australia,Teluk Rubiah_Malaysia,2473.52,14.5,7.11
ANN BELL,Dampier_Australia,Paradip_India,4235.0,14.5,12.17
ANN BELL,Dampier_Australia,Map Ta Phut_Thailand,3081.34,14.5,8.85
ANN BELL,Dampier_Australia,Rotterdam_Netherlands,10082.53,14.5,28.97
ANN BELL,Dampier_Australia,Xiamen_China,2820.14,14.5,8.1
ANN BELL,Dampier_Australia,Kandla_India,5291.03,14.5,15.2
ANN BELL,Dampier_Australia,Port Talbot_Wales,10494.78,14.5,30.16
ANN BELL,Dampier_Australia,Mundra_India,5310.2,14.5,15.26
ANN BELL,Dampier_Australia,Jubail_Saudi Arabia,6767.98,14.5,19.45
ANN BELL,Dampier_Australia,Itaguaí_Brazil,11132.8,14.5,31.99
ANN BELL,Dampier_Australia,Jingtang_China,3708.54,14.5,10.66
ANN BELL,Dampier_Australia,Lianyungang_China,3348.48,14.5,9.62
ANN BELL,Dampier_Australia,Krishnapatnam_India,4211.61,14.5,12.1
ANN BELL,Ponta da Madeira_Brazil,Saldanha Bay_South Africa,5500.32,14.5,15.81
ANN BELL,Ponta da Madeira_Brazil,Taboneo_Indonesia,13535.63,14.5,38.9
ANN BELL,Ponta da Madeira_Brazil,Vancouver_Canada,7124.53,14.5,20.47
ANN BELL,Ponta da Madeira_Brazil,Kamsar_Guinea,2652.04,14.5,7.62
ANN BELL,Ponta da Madeira_Brazil,Port Hedland_Australia,12743.47,14.5,36.62
ANN BELL,Ponta da Madeira_Brazil,Tubarao_Brazil,1526.57,14.5,4.39
ANN BELL,Ponta da Madeira_Brazil,Qingdao_China,10768.94,14.5,30.95
ANN BELL,Ponta da Madeira_Brazil,Caofeidian_China,11049.5,14.5,31.75
ANN BELL,Ponta da Madeira_Brazil,Tianjin_China,11886.0,14.5,34.16
ANN BELL,Ponta da Madeira_Brazil,Vizag_India,10614.97,14.5,30.5
ANN BELL,Ponta da Madeira_Brazil,Fangcheng_China,10990.82,14.5,31.58
ANN BELL,Ponta da Madeira_Brazil,Mangalore_India,9990.66,14.5,28.71
ANN BELL,Ponta da Madeira_Brazil,Gwangyang_South Korea,12335.95,14.5,35.45
ANN BELL,Ponta da Madeira_Brazil,Teluk Rubiah_Malaysia,12173.75,14.5,34.98
ANN BELL,Ponta da Madeira_Brazil,Paradip_India,10839.16,14.5,31.15
ANN BELL,Ponta da Madeira_Brazil,Map Ta Phut_Thailand,12124.91,14.5,34.84
ANN BELL,Ponta da Madeira_Brazil,Rotterdam_Netherlands,4080.78,14.5,11.73
ANN BELL,Ponta da Madeira_Brazil,Xiamen_China,12789.78,14.5,36.75
ANN BELL,Ponta da Madeira_Brazil,Kandla_India,9532.44,14.5,27.39
ANN BELL,Ponta da Madeira_Brazil,Port Talbot_Wales,3731.59,14.5,10.72
ANN BELL,Ponta da Madeira_Brazil,Mundra_India,9496.22,14.5,27.29
ANN BELL,Ponta da Madeira_Brazil,Jubail_Saudi Arabia,7950.04,14.5,22.84
ANN BELL,Ponta da Madeira_Brazil,Itaguaí_Brazil,1882.56,14.5,5.41
ANN BELL,Ponta da Madeira_Brazil,Jingtang_China,11483.16,14.5,33.0
ANN BELL,Ponta da Madeira_Brazil,Lianyungang_China,11028.6,14.5,31.69
ANN BELL,Ponta da Madeira_Brazil,Krishnapatnam_India,10408.64,14.5,29.91
ANN BELL,Saldanha Bay_South Africa,Taboneo_Indonesia,8174.86,14.5,23.49
ANN BELL,Saldanha Bay_South Africa,Vancouver_Canada,12354.61,14.5,35.5
ANN BELL,Saldanha Bay_South Africa,Kamsar_Guinea,4537.52,14.5,13.04
ANN BELL,Saldanha Bay_South Africa,Port Hedland_Australia,7356.16,14.5,21.14
ANN BELL,Saldanha Bay_South Africa,Tubarao_Brazil,4444.79,14.5,12.77
ANN BELL,Saldanha Bay_South Africa,Qingdao_China,8085.54,14.5,23.23
ANN BELL,Saldanha Bay_South Africa,Caofeidian_China,8469.69,14.5,24.34
ANN BELL,Saldanha Bay_South Africa,Tianjin_China,8350.68,14.5,24.0
ANN BELL,Saldanha Bay_South Africa,Vizag_India,6750.55,14.5,19.4
ANN BELL,Saldanha Bay_South Africa,Fangcheng_China,6681.36,14.5,19.2
ANN BELL,Saldanha Bay_South Africa,Mangalore_India,5973.72,14.5,17.17
ANN BELL,Saldanha Bay_South Africa,Gwangyang_South Korea,10334.99,14.5,29.7
ANN BELL,Saldanha Bay_South Africa,Teluk Rubiah_Malaysia,7241.55,14.5,20.81
ANN BELL,Saldanha Bay_South Africa,Paradip_India,7100.58,14.5,20.4
ANN BELL,Saldanha Bay_South Africa,Map Ta Phut_Thailand,7674.2,14.5,22.05
ANN BELL,Saldanha Bay_South Africa,Rotterdam_Netherlands,6324.2,14.5,18.17
ANN BELL,Saldanha Bay_South Africa,Xiamen_China,9340.12,14.5,26.84
ANN BELL,Saldanha Bay_South Africa,Kandla_India,4622.05,14.5,13.28
ANN BELL,Saldanha Bay_South Africa,Port Talbot_Wales,5582.2,14.5,16.04
ANN BELL,Saldanha Bay_South Africa,Mundra_India,6264.92,14.5,18.0
ANN BELL,Saldanha Bay_South Africa,Jubail_Saudi Arabia,5002.9,14.5,14.38
ANN BELL,Saldanha Bay_South Africa,Itaguaí_Brazil,4600.37,14.5,13.22
ANN BELL,Saldanha Bay_South Africa,Jingtang_China,8123.94,14.5,23.34
ANN BELL,Saldanha Bay_South Africa,Lianyungang_China,7865.55,14.5,22.6
ANN BELL,Saldanha Bay_South Africa,Krishnapatnam_India,5126.31,14.5,14.73
ANN BELL,Taboneo_Indonesia,Vancouver_Canada,9205.3,14.5,26.45
ANN BELL,Taboneo_Indonesia,Kamsar_Guinea,11079.73,14.5,31.84
ANN BELL,Taboneo_Indonesia,Port Hedland_Australia,1644.23,14.5,4.72
ANN BELL,Taboneo_Indonesia,Tubarao_Brazil,12559.18,14.5,36.09
ANN BELL,Taboneo_Indonesia,Qingdao_China,3109.59,14.5,8.94
ANN BELL,Taboneo_Indonesia,Caofeidian_China,3081.52,14.5,8.85
ANN BELL,Taboneo_Indonesia,Tianjin_China,3346.33,14.5,9.62
ANN BELL,Taboneo_Indonesia,Vizag_India,2372.52,14.5,6.82
ANN BELL,Taboneo_Indonesia,Fangcheng_China,1830.51,14.5,5.26
ANN BELL,Taboneo_Indonesia,Mangalore_India,3708.04,14.5,10.66
ANN BELL,Taboneo_Indonesia,Gwangyang_South Korea,3114.12,14.5,8.95
ANN BELL,Taboneo_Indonesia,Teluk Rubiah_Malaysia,1448.98,14.5,4.16
ANN BELL,Taboneo_Indonesia,Paradip_India,2424.45,14.5,6.97
ANN BELL,Taboneo_Indonesia,Map Ta Phut_Thailand,1369.64,14.5,3.94
ANN BELL,Taboneo_Indonesia,Rotterdam_Netherlands,9119.0,14.5,26.2
ANN BELL,Taboneo_Indonesia,Xiamen_China,1975.74,14.5,5.68
ANN BELL,Taboneo_Indonesia,Kandla_India,3670.92,14.5,10.55
ANN BELL,Taboneo_Indonesia,Port Talbot_Wales,9185.53,14.5,26.4
ANN BELL,Taboneo_Indonesia,Mundra_India,3596.52,14.5,10.33
ANN BELL,Taboneo_Indonesia,Jubail_Saudi Arabia,5920.49,14.5,17.01
ANN BELL,Taboneo_Indonesia,Itaguaí_Brazil,12599.51,14.5,36.21
ANN BELL,Taboneo_Indonesia,Jingtang_China,3365.32,14.5,9.67
ANN BELL,Taboneo_Indonesia,Lianyungang_China,2993.94,14.5,8.6
ANN BELL,Taboneo_Indonesia,Krishnapatnam_India,2411.88,14.5,6.93
ANN BELL,Vancouver_Canada,Kamsar_Guinea,7832.35,14.5,22.51
ANN BELL,Vancouver_Canada,Port Hedland_Australia,10384.52,14.5,29.84
ANN BELL,Vancouver_Canada,Tubarao_Brazil,8471.67,14.5,24.34
