Vessel,From_Port,To_Port,Distance_NM,Speed_kn,Sailing_Days
ANN BELL,Dampier_Australia,Ponta da Madeira_Brazil,12623.15,12.0,43.83
ANN BELL,Dampier_Australia,Saldanha Bay_South Africa,7213.63,12.0,25.05
ANN BELL,Dampier_Australia,Taboneo_Indonesia,1670.48,12.0,5.8
ANN BELL,Dampier_Australia,Vancouver_Canada,10510.98,12.0,36.5
ANN BELL,Dampier_Australia,Kamsar_Guinea,11175.72,12.0,38.8
ANN BELL,Dampier_Australia,Port Hedland_Australia,154.56,12.0,0.54
ANN BELL,Dampier_Australia,Tubarao_Brazil,11199.88,12.0,38.89
ANN BELL,Dampier_Australia,Qingdao_China,3331.2,12.0,11.57
ANN BELL,Dampier_Australia,Caofeidian_China,3725.37,12.0,12.94
ANN BELL,Dampier_Australia,Tianjin_China,3617.6,12.0,12.56
ANN BELL,Dampier_Australia,Vizag_India,4243.92,12.0,14.74
ANN BELL,Dampier_Australia,Fangcheng_China,2681.08,12.0,9.31
ANN BELL,Dampier_Australia,Mangalore_India,4463.09,12.0,15.5
ANN BELL,Dampier_Australia,Gwangyang_South Korea,4753.32,12.0,16.5
ANN BELL,Dampier_Australia,Teluk Rubiah_Malaysia,2473.52,12.0,8.59
ANN BELL,Dampier_Australia,Paradip_India,4235.0,12.0,14.7
ANN BELL,Dampier_Australia,Map Ta Phut_Thailand,3081.34,12.0,10.7
ANN BELL,Dampier_Australia,Rotterdam_Netherlands,10082.53,12.0,35.01
ANN BELL,Dampier_Australia,Xiamen_China,2820.14,12.0,9.79
ANN BELL,Dampier_Australia,Kandla_India,5291.03,12.0,18.37
ANN BELL,Dampier_Australia,Port Talbot_Wales,10494.78,12.0,36.44
ANN BELL,Dampier_Australia,Mundra_India,5310.2,12.0,18.44
ANN BELL,Dampier_Australia,Jubail_Saudi Arabia,6767.98,12.0,23.5
ANN BELL,Dampier_Australia,Itaguaí_Brazil,11132.8,12.0,38.66
ANN BELL,Dampier_Australia,Jingtang_China,3708.54,12.0,12.88
ANN BELL,Dampier_Australia,Lianyungang_China,3348.48,12.0,11.63
ANN BELL,Dampier_Australia,Krishnapatnam_India,4211.61,12.0,14.62
ANN BELL,Ponta da Madeira_Brazil,Saldanha Bay_South Africa,5500.32,12.0,19.1
ANN BELL,Ponta da Madeira_Brazil,Taboneo_Indonesia,13535.63,12.0,47.0
ANN BELL,Ponta da Madeira_Brazil,Vancouver_Canada,7124.53,12.0,24.74
ANN BELL,Ponta da Madeira_Brazil,Kamsar_Guinea,2652.04,12.0,9.21
