Vessel,From_Port,To_Port,Distance_NM,Speed_kn,Sailing_Days
ANN BELL,Dampier_Australia,Ponta da Madeira_Brazil,12623.15,13.5,38.96
ANN BELL,Dampier_Australia,Saldanha Bay_South Africa,7213.63,13.5,22.26
ANN BELL,Dampier_Australia,Taboneo_Indonesia,1670.48,13.5,5.16
ANN BELL,Dampier_Australia,Vancouver_Canada,10510.98,13.5,32.44
ANN BELL,Dampier_Australia,Kamsar_Guinea,11175.72,13.5,34.49
ANN BELL,Dampier_Australia,Port Hedland_Australia,154.56,13.5,0.48
ANN BELL,Dampier_Australia,Tubarao_Brazil,11199.88,13.5,34.57
ANN BELL,Dampier_Australia,Qingdao_China,3331.2,13.5,10.28
ANN BELL,Dampier_Australia,Caofeidian_China,3725.37,13.5,11.5
ANN BELL,Dampier_Australia,Tianjin_China,3617.6,13.5,11.17
ANN BELL,Dampier_Australia,Vizag_India,4243.92,13.5,13.1
ANN BELL,Dampier_Australia,Fangcheng_China,2681.08,13.5,8.27
ANN BELL,Dampier_Australia,Mangalore_India,4463.09,13.5,13.77
ANN BELL,Dampier_Australia,Gwangyang_South Korea,4753.32,13.5,14.67
ANN BELL,Dampier_Australia,Teluk Rubiah_Malaysia,2473.52,13.5,7.63
ANN BELL,Dampier_Australia,Paradip_India,4235.0,13.5,13.07
ANN BELL,Dampier_Australia,Map Ta Phut_Thailand,3081.34,13.5,9.51
ANN BELL,Dampier_Australia,Rotterdam_Netherlands,10082.53,13.5,31.12
ANN BELL,Dampier_Australia,Xiamen_China,2820.14,13.5,8.7
ANN BELL,Dampier_Australia,Kandla_India,5291.03,13.5,16.33
ANN BELL,Dampier_Australia,Port Talbot_Wales,10494.78,13.5,32.39
ANN BELL,Dampier_Australia,Mundra_India,5310.2,13.5,16.39
ANN BELL,Dampier_Australia,Jubail_Saudi Arabia,6767.98,13.5,20.89
ANN BELL,Dampier_Australia,Itaguaí_Brazil,11132.8,13.5,34.36
ANN BELL,Dampier_Australia,Jingtang_China,3708.54,13.5,11.45
ANN BELL,Dampier_Australia,Lianyungang_China,3348.48,13.5,10.33
ANN BELL,Dampier_Australia,Krishnapatnam_India,4211.61,13.5,13.0
ANN BELL,Ponta da Madeira_Brazil,Saldanha Bay_South Africa,5500.32,13.5,16.98
ANN BELL,Ponta da Madeira_Brazil,Taboneo_Indonesia,13535.63,13.5,41.78
ANN BELL,Ponta da Madeira_Brazil,Vancouver_Canada,7124.53,13.5,21.99
ANN BELL,Ponta da Madeira_Brazil,Kamsar_Guinea,2652.04,13.5,8.19
ANN BELL,Ponta da Madeira_Brazil,Port Hedland_Australia,12743.47,13.5,39.33
ANN BELL,Ponta da Madeira_Brazil,Tubarao_Brazil,1526.57,13.5,4.71
ANN BELL,Ponta da Madeira_Brazil,Qingdao_China,10768.94,13.5,33.24
ANN BELL,Ponta da Madeira_Brazil,Caofeidian_China,11049.5,13.5,34.1
